lval,op,rval,Estimate,Est. Std,Std. Err,z-value,p-value
Intention,~,Attitude,0.6018611909188415,0.8695621837558701,0.010681922671376569,56.34390075442629,0.0
Intention,~,PBC,0.4416837880963531,0.5858394114213923,0.013147429585354713,33.594687478285664,0.0
Intention,~,SubjectiveNorm,-0.0010617842374142086,-0.002646665021541163,0.0024903898011247173,-0.42635262821439834,0.6698509144349729
Behavior,~,Intention,1.6466861647431639,1.1467537245467747,0.026451233621508728,62.25366227690467,0.0
Behavior,~,PBC,-0.6862632935322284,-0.6338948433682757,0.022150033548124386,-30.98249454161017,0.0
ATT1,~,Attitude,1.0,0.9944482718780453,-,-,
ATT2,~,Attitude,0.6135214283737196,0.699653730207412,0.049122857187220904,12.489530607369373,0.0
ATT3,~,Attitude,0.5668375619247237,0.6316152905428021,0.05388660110850058,10.519081743026955,0.0
PBC1,~,PBC,1.0,0.9969065046389124,-,-,
PBC2,~,PBC,0.09418785960812374,0.05517558104823899,0.13384625808494452,0.7037018513259028,0.48161846718058166
PBC3,~,PBC,0.583689531228556,0.5160478843543461,0.07569021773581054,7.711558358282927,1.2434497875801753e-14
SN1,~,SubjectiveNorm,1.0,0.9999999999999909,-,-,
SN2,~,SubjectiveNorm,0.19217906230507018,0.23401070379484565,0.5798163115936139,0.3314481818846012,0.7403059757385235
SN3,~,SubjectiveNorm,0.713236969089773,0.8846531233436075,0.31970774040607486,2.23090303719775,0.02568755251823318
INT1,~,Intention,1.0,0.9944966208139763,-,-,
INT2,~,Intention,0.6985722466999565,0.6362642210981545,0.06546556650844065,10.670834821221884,0.0
BEH1,~,Behavior,1.0,0.9860784893334656,-,-,
BEH2,~,Behavior,0.9238790759590744,0.9999999999999989,0.014273852956806672,64.72527625792763,0.0
Attitude,~~,PBC,-0.0023350436513389227,-0.09737307918122834,0.0018624791898060155,-1.2537287196902307,0.2099406253636622
Attitude,~~,SubjectiveNorm,-0.0011685118562178936,-0.025928741935056863,0.0026583597272052473,-0.43956122409618253,0.6602549301103278
Attitude,~~,Attitude,0.026121209263178524,1.0,0.0028897739908441884,9.039187610138521,0.0
PBC,~~,SubjectiveNorm,0.0035252628339753744,0.08520733902948557,0.003117575880818182,1.1307704984936655,0.2581517000079274
PBC,~~,PBC,0.022015011746997444,1.0,0.002459991133128473,8.949224020190192,0.0
Behavior,~~,Behavior,0.00029476910301398234,0.011423940583815092,0.0002107353514426123,1.398764372457413,0.16188365335903177
Intention,~~,Intention,1.008085476227486e-16,8.055874430685858e-15,0.00011230162118793893,8.976588731197806e-13,0.9999999999992837
SubjectiveNorm,~~,SubjectiveNorm,0.07775173297328966,0.9999999999999998,0.03572502453361422,2.176394109903423,0.029525803849819177
ATT1,~~,ATT2,-0.00018033131676706063,-0.00782912975605539,0.00021300389414569674,-0.8466104182917042,0.3972123049740228
ATT1,~~,BEH1,0.00037314723038221726,0.014094324090609194,0.00021859422868845385,1.7070314752316946,0.08781620229863374
ATT1,~~,ATT1,0.00029246900683678456,0.011072634558769277,0.0003110709309896177,0.9402003747702984,0.3471147896034066
ATT2,~~,ATT3,0.0021630937253603586,0.10522755775608342,0.0009051946384697303,2.3896448686743383,0.01686467125976665
ATT2,~~,ATT2,0.010253429191230084,0.5104846578068538,0.0011298975036728252,9.074654248571937,0.0
PBC1,~~,PBC2,-0.00018310052281163608,-0.004857100392559518,0.0006126049781617948,-0.29888840123723104,0.7650251972895152
PBC1,~~,PBC1,0.00013684132253170654,0.006177421008626037,0.0004948177642501695,0.276548927992758,0.7821264851537089
PBC2,~~,PBC3,0.014653767284046736,0.34473902904928144,0.003036166279262379,4.826404726021918,1.3901985189690436e-06
PBC2,~~,PBC2,0.06395739811039251,0.9969556552559888,0.006958550949897235,9.191194914243727,0.0
SN1,~~,SN2,0.034943149111059314,0.5472447660804646,0.04420273651209721,0.7905200416880459,0.4292241224422537
SN1,~~,SN1,1.4484068702138637e-15,1.8628612055649147e-14,0.03470929252559516,4.1729656952934344e-14,0.9999999999999667
SN2,~~,SN3,0.028700954358881918,0.5575131077357549,0.0321347584684311,0.8931436153840813,0.3717802685962086
SN2,~~,SN2,0.0495669732238007,0.9452389905094412,0.01785742443852645,2.7757067314862534,0.005508186854328967
INT1,~~,BEH1,0.00019885773848938145,0.010852553762874702,0.00013029276725214084,1.5262377272125693,0.12695067091381018
INT1,~~,INT1,0.0001388803453968622,0.01097647118958237,9.303463989056445e-05,1.4927810121847573,0.13549451917502564
ATT3,~~,ATT3,0.01264516827804696,0.6010621247525315,0.001377249818466899,9.181463013690289,0.0
BEH1,~~,BEH1,0.000733712344978635,0.027649212873830164,0.00022899858162643173,3.204003870083114,0.00135530654847682
BEH2,~~,BEH2,5.041922725624509e-17,2.2892851883882142e-15,0.00018616769070873914,2.708269452850411e-13,0.999999999999784
INT2,~~,INT2,0.008977838260331841,0.5951678409503589,0.0009777260094010198,9.182366189326936,0.0
PBC3,~~,PBC3,0.02066417339286929,0.7336945810534035,0.0022559788915810035,9.159737026275089,0.0
SN3,~~,SN3,0.010986744037176742,0.21738885135840005,0.017697264741811578,0.6208159394597648,0.5347207344854983
